fecha,id_producto,cantidad,precio
2025-01-02,1802,1,40
2025-01-02,34,1,65
2025-01-02,1295,1,40
2025-01-02,1591,1,68
2025-01-02,1554,3,99
2025-01-02,1015,1,80
2025-01-02,1714,1,67
2025-01-02,1256,1,207
2025-01-02,1650,1,94
2025-01-02,583,1,69
2025-01-02,767,1,100
2025-01-02,51,1,89
2025-01-02,552,6,5
2025-01-02,1255,1,69
2025-01-02,80,1,45
2025-01-02,381,1,65
2025-01-02,1871,1,140
2025-01-02,1437,1,65
2025-01-02,1708,1,50
2025-01-02,1810,2,12
2025-01-02,583,2,69
2025-01-02,562,1,110
2025-01-02,1798,1,28
2025-01-02,1322,1,35
2025-01-02,1800,1,43
2025-01-02,80,1,45
2025-01-02,1248,1,5
2025-01-02,806,1,33
2025-01-02,1798,1,28
2025-01-02,1810,2,12
2025-01-02,1420,1,45
2025-01-02,1811,1,280
2025-01-02,1397,1,95
2025-01-02,1810,1,12
2025-01-02,480,1,48
2025-01-02,464,1,220
2025-01-02,226,1,118
2025-01-02,1802,1,40
2025-01-02,1798,1,28
2025-01-02,227,1,118
2025-01-02,214,1,80
2025-01-02,677,1,232
2025-01-02,951,2,65
2025-01-02,51,1,89
2025-01-02,680,1,86
2025-01-02,800,1,40
2025-01-02,81,1,64
2025-01-02,1398,1,82
2025-01-02,1422,1,97
2025-01-03,1604,1,45
2025-01-03,1437,1,65
2025-01-03,1310,1,100
2025-01-03,1800,1,43
2025-01-03,1649,2,10
2025-01-03,51,1,89
2025-01-03,1472,1,25
2025-01-03,1905,1,70
2025-01-03,1255,1,69
2025-01-03,1153,1,138
2025-01-03,1153,1,138
2025-01-03,1310,1,100
2025-01-03,166,1,80
2025-01-03,1649,2,10
2025-01-03,3154,1,17
2025-01-03,714,1,50
2025-01-03,1000,1,85
2025-01-03,1461,2,35
2025-01-03,948,1,58
2025-01-03,194,1,81
2025-01-03,684,1,65
2025-01-03,1090,1,49
2025-01-03,753,1,67
2025-01-03,81,1,64
2025-01-03,1447,1,65
2025-01-03,1132,1,88
2025-01-03,1472,1,25
2025-01-03,1255,1,69
2025-01-03,227,1,118
2025-01-03,1068,1,42
2025-01-03,407,1,65
2025-01-03,719,1,12
2025-01-03,256,1,10
2025-01-03,1255,1,69
2025-01-03,890,1,80
2025-01-03,366,1,42
2025-01-03,1738,2,104
2025-01-03,1623,1,57
2025-01-03,912,1,28
